Test ID,Event ID,Subject ID,Event Time,Event Type,Element ID,Mouse Position (X),Mouse Position (Y),Time Entered Element,Scroll Time Offset (ms),Scroll Offset X,Scroll Offset Y,Prior Knowledge Answer,Read Time (ms),Story Segment,Story ID,Story Title,Story Author,Story Profile Picture,Story Post Date,Comment One Body,Comment One Author,Comment One Profile Picture,Comment One Post Date,Comment Two Body,Comment Two Author,Comment Two Profile Picture,Comment Two Post Date,Distractor Question,Distractor Image,Distractor Answers,Distractor Answer,Advertisement Style,Error Message,Source File,Source Line No.,Source Column Number,Application Version,Browser Type,Browser Width,Browser Height
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,skywalker-resort,Skywalker Resort,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,2 Hours Ago,Sounds like something right out of a movie script.,Leslie Blaha,/digital-deception/assets/profile-pictures/Leslie-Blaha.jpg,9 Minutes Ago,Grateful to live in a time where we can discover all of this!,N/A,/digital-deception/assets/profile-pictures/Kathleen-Larson.jpg,2 Days Ago,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Which shape did you notice first?,/digital-deception/assets/distractions/distractor-task-13.png,???,???,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,irish-moss,Irish Moss,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,3 Days Ago,This post just popped up in my feed today. I got sucked in and had to read the whole way through.,Ian Davis,/digital-deception/assets/profile-pictures/Ian-Davis.jpg,2 Hours Ago,Have you heard of Occam’s razor? They say the simplest explanation is most often the best.,N/A,/digital-deception/assets/profile-pictures/Ian-Davis.jpg,58 Minutes Ago,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"The green cylinder is casting a shadow over tile B to make it appear a lighter color than tile A. Without the shadow, is tile B lighter than tile A? ",/digital-deception/assets/distractions/distractor-task-12.png,???,???,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,twister,"Twister, a Dirty Game",Leslie Blaha,/digital-deception/assets/profile-pictures/Leslie-Blaha.jpg,28 Hours Ago,Interesting. I’m surprised they never taught us this in elementary school.,Rachel Wong,/digital-deception/assets/profile-pictures/Rachel-Wong.jpg,7 Minutes Ago,Love this stuff. Kind of things you’d never hear about,N/A,/digital-deception/assets/profile-pictures/Megan-Morris.jpg,34 Minutes Ago,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,One of these symbols does not belong. Which quadrant contains the odd one out?,/digital-deception/assets/distractions/distractor-task-8.png,???,???,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,goody-garlick,Good Garlick the Witch,Ian Davis,/digital-deception/assets/profile-pictures/Ian-Davis.jpg,2 Days Ago,I'm shocked more people don't know about this! My family can’t stop talking about it.,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,4 Hours Ago,Love the innovation! You don’t come across that every day.,N/A,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,3 Days Ago,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Which vintage postcard represents an impossible image?,/digital-deception/assets/distractions/distractor-task-6.png,???,???,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cuttlefish-vision,Cuttlefish Vision,Megan Morris,/digital-deception/assets/profile-pictures/Megan-Morris.jpg,2 Minutes Ago,This is a thing?? Amazing!,Megan Morris,/digital-deception/assets/profile-pictures/Megan-Morris.jpg,19 Hours Ago,"Bizarre, but pleasantly surprised by this one.",N/A,/digital-deception/assets/profile-pictures/Rachel-Wong.jpg,2 Days Ago,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,N/A,test114,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"In this image, which word did you see first ",/digital-deception/assets/distractions/distractor-task-10.png,???,???,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
