Test ID,Event ID,Subject ID,Event Time,Event Type,Element ID,Mouse Position (X),Mouse Position (Y),Time Entered Element,Scroll Time Offset (ms),Scroll Offset X,Scroll Offset Y,"Answer (Prior Knowledge, Distractor, etc)",Read Time (ms),Story Segment,Story ID,Story Title,Story Author,Story Profile Picture,Story Post Date,Comment One Body,Comment One Author,Comment One Profile Picture,Comment One Post Date,Comment Two Body,Comment Two Author,Comment Two Profile Picture,Comment Two Post Date,Distractor Question,Distractor Image,Distractor Answers,Advertisement Style,Error Message,Source File,Source Line No.,Source Column Number,Application Version,Browser Type,Browser Width,Browser Height
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,twister,"Twister, a Dirty Game",Leslie Blaha,/digital-deception/assets/profile-pictures/Leslie-Blaha.jpg,28 Hours Ago,Love the innovation! You don’t come across that every day.,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,3 Days Ago,I wonder where they got the inspiration to write this?,Rachel Wong,/digital-deception/assets/profile-pictures/Rachel-Wong.jpg,8 Hours Ago,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,One of these symbols does not belong. Which quadrant contains the odd one out?,/digital-deception/assets/distractions/distractor-task-8.png,"1, 2, 3, 4",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,irish-moss,Irish Moss,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,3 Days Ago,Interesting. I’m surprised they never taught us this in elementary school.,Rachel Wong,/digital-deception/assets/profile-pictures/Rachel-Wong.jpg,7 Minutes Ago,This is a thing?? Amazing!,Megan Morris,/digital-deception/assets/profile-pictures/Megan-Morris.jpg,19 Hours Ago,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"In this figure, are the four corner discs:",/digital-deception/assets/distractions/distractor-task-2.png,"Moving in the same direction, Moving in different directions, Not moving at all",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,turtles-on-treadmills,Turtles on Treadmills,Rachel Wong,/digital-deception/assets/profile-pictures/Rachel-Wong.jpg,32 Minutes Ago,What are the odds that this goes viral? I’m sharing it with as many people as possible.,Jackson Pelzner,/digital-deception/assets/profile-pictures/Jackson-Pelzner.jpg,46 Minutes Ago,Sounds like something right out of a movie script.,Leslie Blaha,/digital-deception/assets/profile-pictures/Leslie-Blaha.jpg,9 Minutes Ago,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Look at the two orange circles.  Most people think the orange circle on the right is bigger, but do you agree?",/digital-deception/assets/distractions/distractor-task-9.png,"Agree, Disagree",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,skywalker-resort,Skywalker Resort,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,2 Hours Ago,Thanks for sharing this! I had no idea.,Kathleen Larson,/digital-deception/assets/profile-pictures/Kathleen-Larson.jpg,5 Hours Ago,I'm shocked more people don't know about this! My family can’t stop talking about it.,Beth Hartzler,/digital-deception/assets/profile-pictures/Beth-Hartzler.jpg,4 Hours Ago,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Which shape did you notice first?,/digital-deception/assets/distractions/distractor-task-13.png,"An upward pointing triangle, A downward pointing triangle, A six point star, None of the above",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cuttlefish-vision,Cuttlefish Vision,Megan Morris,/digital-deception/assets/profile-pictures/Megan-Morris.jpg,2 Minutes Ago,I’m just here to read the comments.,Megan Morris,/digital-deception/assets/profile-pictures/Megan-Morris.jpg,17 Hours Ago,Have you heard of Occam’s razor? They say the simplest explanation is most often the best.,Ian Davis,/digital-deception/assets/profile-pictures/Ian-Davis.jpg,58 Minutes Ago,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,N/A,test120,N/A,Post Data,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,distractor-task-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,There's an animal in this picture. In which box can you see its head?,/digital-deception/assets/distractions/distractor-task-1.png,"A, B, C, D",True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
